ZipCode,StateName,City,CountyName
1528,,,
63376,Missouri,Saint peters,St. Charles
60191,Illinois,Wood dale,DuPage
15140,Pennsylvania,Pitcairn,Allegheny
70172,,,
73701,Oklahoma,Enid,Garfield
85071,,,
15363,Pennsylvania,Strabane,Washington
54558,Wisconsin,Saint germain,Vilas
61825,,,
89128,Nevada,Las vegas,Clark
53590,Wisconsin,Sun prairie,Dane
29708,South carolina,Zcta 29708,York
89113,Nevada,Las vegas,Clark
15201,Pennsylvania,Arsenal,Allegheny
44060,Ohio,Mentor,Lake
89123,Nevada,Las vegas,Clark
28269,North carolina,Charlotte,Mecklenburg
44130,Ohio,Midpark,Cuyahoga
15136,Pennsylvania,Mc kees rocks,Allegheny
28211,North carolina,Charlotte,Mecklenburg
44136,Ohio,Strongsville,Cuyahoga
53711,Wisconsin,Madison,Dane
28079,North carolina,Indian trail,Union
44087,Ohio,Twinsburg,Summit
71144,,,
89031,Nevada,North las vegas,Clark
15106,Pennsylvania,Carnegie,Allegheny
44044,Ohio,Grafton,Lorain
61953,Illinois,Tuscola,Douglas
85372,,,
85080,,,
89154,,,
89016,,,
53726,,,
2340000,,,
89199,,,
89039,Nevada,Cal nev ari,Clark
89157,,,
89153,,,
85287,,,
85435,,,
44313,Ohio,Akron,Summit
60007,Illinois,Elk grove villag,Cook
44096,,,
89114,,,
29031,South carolina,Carlisle,Union
15110,Pennsylvania,Duquesne,Allegheny
89050,,,
89033,,,
53788,,,
28251,,,
28127,North carolina,New london,Stanly
61843,Illinois,Fisher,Champaign
44045,,,
53725,,,
53175,,,
15437,Pennsylvania,Farmington,Fayette
27863,North carolina,Pikeville,Wayne
28130,,,
44222,,,
15342,Pennsylvania,Houston,Washington
44107,Ohio,Edgewater,Cuyahoga
19355,Pennsylvania,Frazer,Chester
44026,Ohio,Chesterland,Geauga
85209,,,
53714,Wisconsin,Madison,Dane
89152,,,
89030,Nevada,North las vegas,Clark
15216,Pennsylvania,South hills,Allegheny
70734,Louisiana,Geismar,Ascension Parish
15206,Pennsylvania,East liberty,Allegheny
44120,Ohio,Cleveland,Cuyahoga
44124,Ohio,Lyndhurst mayfie,Cuyahoga
44133,Ohio,North royalton,Cuyahoga
44111,Ohio,Cleveland,Cuyahoga
44022,Ohio,Chagrin falls,Cuyahoga
15207,Pennsylvania,Hazelwood,Allegheny
85295,,,
15232,Pennsylvania,Shadyside,Allegheny
44264,Ohio,Peninsula,Summit
28215,North carolina,Charlotte,Mecklenburg
70561,,,
53527,Wisconsin,Cottage grove,Dane
28214,North carolina,Charlotte,Mecklenburg
15044,Pennsylvania,Gibsonia,Allegheny
44067,Ohio,Northfield,Summit
